,t,E,Ek,Ep,T,P
106,1.06,7.968473952164345,758.792409412037,-750.8239354598727,1.9837710049987896,1.2162860991652291
107,1.07,8.376929652049398,763.4440574723367,-755.0671278202873,1.9959321763982658,1.1753000443138237
108,1.08,8.33169726141648,765.9455589956775,-757.613861734261,2.002472049661902,1.1457692407074653
109,1.09,8.139929550364172,768.465180611895,-760.3252510615308,2.0090592957173725,1.1155310814451451
110,1.1,7.657924491755011,768.7042344904851,-761.0463099987301,2.0096842731777387,1.102186284445886
111,1.11,7.553075302315392,763.4302366529027,-755.8771613505874,1.9958960435370006,1.1337356336686566
112,1.12,8.178928922757336,756.4261900975569,-748.2472611747995,1.9775848107125669,1.1849228307601052
113,1.1300000000000001,9.148692609554473,754.0045007255828,-744.8558081160284,1.9712535966681903,1.206227148017929
114,1.1400000000000001,10.279067766046296,753.5190555640493,-743.239987798003,1.9699844589909785,1.213356985819147
115,1.1500000000000001,11.522962541007587,751.0551000911169,-739.5321375501093,1.9635427453362533,1.2346010421883882
116,1.16,13.011307639969345,751.5572264858185,-738.5459188458492,1.9648554940805714,1.2350698828455242
117,1.17,14.104676205471264,757.0144980678634,-742.9098218623922,1.979122870765656,1.1957268659455123
118,1.18,14.603524434981182,762.4696855969407,-747.8661611619596,1.9933847989462503,1.151221362559902
119,1.19,14.652834620904969,764.6788276368252,-750.0259930159202,1.9991603336910462,1.127655629537749
120,1.2,14.859589188690848,762.0469441095523,-747.1873549208615,1.9922795924432741,1.140459626145539
121,1.21,15.406730884873923,757.4538670180455,-742.0471361331715,1.980271547759596,1.1692461499776712
122,1.22,16.334540072697678,757.2641523507143,-740.9296122780166,1.9797755617012138,1.1659341614342065
123,1.23,16.703896291568185,765.4533561716241,-748.749459880056,2.001185244893135,1.096446741924238
124,1.24,16.17288955637423,774.4576900776271,-758.2848005212529,2.0247259871310512,1.0160965324661513
125,1.25,15.072025469255209,775.6117007266209,-760.5396752573657,2.0277430084356105,0.995485831395085
126,1.26,14.093550578609552,773.9188537707112,-759.8253031921016,2.023317264760029,1.0068699659777014
127,1.27,13.141875926166335,773.4802951517609,-760.3384192255945,2.0221707062791134,1.0201434106118825
128,1.28,12.435202869233422,768.1666784332234,-755.73147556399,2.008278897864636,1.0784843744214057
129,1.29,12.61706038397108,758.3619317201313,-745.7448713361603,1.9826455731245263,1.179746701261049
130,1.3,13.615707345386909,751.8956259744477,-738.2799186290608,1.9657401986260072,1.2608202190620346
131,1.31,14.919313767462882,754.889353951274,-739.9700401838111,1.9735669384347032,1.2671797936465021
132,1.32,15.427887340013513,765.8747253883932,-750.4468380483797,2.002286863760505,1.201434129438625
133,1.33,14.811650889494103,774.0554367158018,-759.2437858263077,2.023674344355037,1.1441411986224816
134,1.34,13.970086149592248,771.5409330024286,-757.5708468528363,2.0171004784377216,1.1631803099578764
135,1.35,13.694496651769214,765.0028425596013,-751.3083459078321,2.0000074315283696,1.216181853732736
136,1.36,13.755369953277182,765.2337959912818,-751.4784260380046,2.0006112313497564,1.219950850037623
137,1.37,13.625584609914199,769.2566090113114,-755.6310244013972,2.011128389572056,1.1897092478513136
138,1.3800000000000001,12.958875981026495,774.2274771129776,-761.2686011319511,2.024124123171183,1.1466007990397293
139,1.3900000000000001,11.78572595841706,778.1237884318143,-766.3380624733973,2.0343105579916716,1.1087066829890297
140,1.4000000000000001,10.304339749538258,779.8522322242766,-769.5478924747383,2.0388293652922265,1.088121696917984
141,1.41,8.861043450460102,779.1094442268791,-770.248400776419,2.0368874358872655,1.0913264282668043
142,1.42,7.612134155645208,773.8357600704296,-766.2236259147844,2.0231000263279206,1.1360196956140254
143,1.43,7.247140631113098,762.9550907566488,-755.7079501255357,1.9946538320435263,1.2331281743107945
144,1.44,7.935831123470052,755.9914324700813,-748.0556013466113,1.976448189464265,1.311729375184147
145,1.45,8.73790200770543,757.1676341003313,-748.4297320926258,1.979523226406095,1.3292919709004116
146,1.46,9.394487174948154,759.0906618156852,-749.696174640737,1.9845507498449286,1.3314364866868296
147,1.47,9.592130791587351,765.2254886862528,-755.6333578946654,2.0005895129052362,1.2903259165347993
148,1.48,9.110616381282398,775.096595947419,-765.9859795661366,2.026396329274298,1.2088169401545432
149,1.49,7.806110787739499,783.652386583979,-775.8462757962395,2.0487644093698796,1.1278242334119286
150,1.5,5.612268720139582,788.5678803866713,-782.9556116665317,2.061615373559925,1.071213238071857
151,1.51,3.170766058772756,787.8477561502351,-784.6769900914624,2.0597326958176083,1.0618537997839714
152,1.52,1.2521763433998103,780.0681763647962,-778.8160000213963,2.039393925136722,1.1167932403093035
153,1.53,0.3894361855656143,766.4282668925044,-766.0388307069388,2.003734031091515,1.2295298563013968
154,1.54,1.0315708768881677,753.6041379770277,-752.5725671001395,1.9702068966719677,1.3490806112977058
155,1.55,2.487049084941077,749.7460780829256,-747.2590289979845,1.960120465576276,1.4062225626115494
156,1.56,3.725083525445257,753.8159025268849,-750.0908190014396,1.970760529482052,1.39837446900425
157,1.57,4.6170012371024995,757.4109428063856,-752.7939415692831,1.9801593275983937,1.3850755517207876
158,1.58,5.320596767849565,760.2119064441163,-754.8913096762667,1.9874821083506307,1.3716112309742137
159,1.59,5.391369354094877,767.305660048003,-761.9142906939081,2.0060278694065437,1.3201898334140256
160,1.6,4.760077073293246,775.2341188024783,-770.474041729185,2.0267558661502703,1.2565468696856132
161,1.61,3.569480665871538,777.4402643976593,-773.8707837317878,2.032523567052704,1.23365529812031
162,1.62,2.6306738965580507,770.8024926813285,-768.1718187847705,2.0151699155067413,1.2827936393236263
163,1.6300000000000001,2.755683055947088,756.8808249995741,-754.125141943627,1.9787733986916969,1.3969967934902796
164,1.6400000000000001,4.140766997031278,746.7691616662642,-742.6283946692329,1.9523376775588606,1.4921959698283782
165,1.6500000000000001,5.700950297403551,753.0589898548433,-747.3580395574397,1.9687816728231198,1.4654388622866568
166,1.6600000000000001,6.254895661892874,764.8719460522889,-758.617050390396,1.9996652184373565,1.386691667077798
167,1.67,6.001321750266015,768.044477284493,-762.043155534227,2.007959417737237,1.3648484191978787
168,1.68,5.878787675204535,764.5766301806701,-758.6978425054656,1.9988931507991377,1.3947479725493048
169,1.69,6.232081364890519,759.633104591079,-753.4010232261885,1.9859689008917099,1.4388167242670507
170,1.7,6.792293125075048,759.1621017879047,-752.3698086628297,1.98473752101413,1.447714472467994
171,1.71,7.065942121148623,766.2844063677423,-759.2184642465937,2.0033579251444245,1.3918058535224886
172,1.72,6.254087005538963,777.792336501991,-771.5382494964521,2.0334440169986694,1.290346897867506
173,1.73,4.446624111899041,787.8110699442741,-783.364445832375,2.059636784168037,1.1908486687956281
174,1.74,1.882998590174111,792.0375084955292,-790.1545099053551,2.070686296720338,1.1321933229249197
175,1.75,-0.7349285779736192,790.9994687811138,-791.7343973590874,2.0679724674016047,1.1186610281931832
176,1.76,-3.238022626025213,786.775722284901,-790.0137449109262,2.056929992901702,1.1379690071558297
177,1.77,-4.986151633758254,778.8855226636128,-783.8716742973711,2.0363020200355892,1.1961931715439915
178,1.78,-5.7292316666374745,766.9282869826332,-772.6575186492706,2.005041273157211,1.29615195955145
179,1.79,-5.255197698684128,753.616950799717,-758.8721484984011,1.970240394247626,1.4155546950095559
180,1.8,-3.670074322666892,743.5403988997459,-747.2104732224128,1.943896467711754,1.5143492665385372
181,1.81,-1.1780799361619074,738.5210755426182,-739.6991554787801,1.9307740537061913,1.570549599707959
182,1.82,1.400939160158373,740.3522199329614,-738.951280772803,1.9355613593018597,1.5611223338219262
183,1.83,3.2575422326789294,754.5257180833237,-751.2681758506448,1.97261625642699,1.439319012741981
184,1.84,3.1161584926384194,777.7903876285743,-774.6742291359359,2.0334389219047693,1.2250624763287723
185,1.85,0.8899666255128977,793.8917311084381,-793.0017644829252,2.0755339375384003,1.0450833712602072
186,1.86,-2.2689182437172803,796.1823179843115,-798.4512362280287,2.0815223999589842,0.9658842495280752
187,1.87,-5.130342709804381,791.076318899737,-796.2066616095414,2.06817338274441,0.9537996440110145
188,1.8800000000000001,-7.435721011255737,785.9073883225317,-793.3431093337874,2.054659838751717,0.9572342144611342
189,1.8900000000000001,-9.350513543606553,781.3655307712443,-790.7160443148508,2.04278570136273,0.9680700447502223
190,1.9000000000000001,-10.633151373968303,774.7407122861991,-785.3738636601674,2.025465914473723,1.0049367066995292
191,1.9100000000000001,-11.18617190410373,767.1572784066473,-778.343450310751,2.0056399435467904,1.058047005809117
192,1.92,-11.069769787921018,762.5670282389018,-773.6367980268228,1.9936392895134687,1.0950190975813754
193,1.93,-10.805146480361827,761.4825111953019,-772.2876576756637,1.9908039508373905,1.1064098432874518
194,1.94,-10.414616664856908,761.8648434564641,-772.279460121321,1.9918035123044813,1.10561083158211
195,1.95,-10.217450995623949,765.6688602856802,-775.8863112813042,2.0017486543416476,1.0781256229291876
196,1.96,-10.724201724490285,773.8919104655547,-784.616112190045,2.0232468247465483,1.0160155598985559
197,1.97,-11.907153367462342,779.4073176617679,-791.3144710292303,2.0376661899654063,0.9740588985115941
198,1.98,-13.269408630142266,774.4858286705128,-787.755237300655,2.024799552079772,1.0156032640158519
199,1.99,-13.491978471170682,759.3034298860457,-772.7954083572164,1.985107006238028,1.1472111611921987
200,2.0,-11.960068452143105,744.3639961467917,-756.3240645989348,1.946049663128867,1.2910422012817007
201,2.0100000000000002,-9.471120624841433,739.7848750109811,-749.2559956358225,1.934078104603872,1.361088573995888
202,2.02,-7.037110363025249,744.0101114679246,-751.0472218309499,1.9451244744259466,1.3569075798551766
203,2.0300000000000002,-5.18856557391473,748.7307048063022,-753.919270380217,1.9574658949184371,1.335449279097336
204,2.04,-3.755504902927214,751.5495552732849,-755.3050601762121,1.9648354386229672,1.317339490643676
205,2.05,-2.823254281892673,761.2919495687752,-764.1152038506679,1.9903057505066017,1.2407021418244433
206,2.06,-3.124184093679901,773.5764561854206,-776.7006402791005,2.022422107674302,1.1361959398665267
207,2.07,-4.186661749272616,774.9158327166498,-779.1024944659224,2.025923745664444,1.1102262847633786
208,2.08,-4.772990656119418,767.4498560475954,-772.2228467037148,2.006404852412014,1.1586139738786465
209,2.09,-4.631533209769145,761.6556743188748,-766.287207528644,1.9912566648859473,1.2042709733379438
210,2.1,-4.284965276946878,762.1339527379316,-766.4189180148785,1.9925070659815205,1.2044881241663647
211,2.11,-4.27344280597481,766.4841576496908,-770.7576004556656,2.003880150718146,1.169493723008618
212,2.12,-4.703048667149915,772.1960655330956,-776.8991142002455,2.0188132432237795,1.1170800207539129
213,2.13,-5.841309964044854,777.559740464385,-783.4010504284298,2.0328359227827058,1.0615849731265972
214,2.14,-7.224251396721343,780.5816632004953,-787.8059145972167,2.04073637438038,1.0232032654110241
215,2.15,-8.736143858005903,780.1590094068371,-788.895153264843,2.039631397142058,1.0138975884692703
216,2.16,-10.098080158529456,777.0006368519796,-787.0987170105091,2.0313742139921036,1.0314853744726018
217,2.17,-11.136268526399135,772.2056124199247,-783.3418809463238,2.018838202405032,1.0684630714552437
218,2.18,-11.556240587712296,766.0538978245572,-777.6101384122695,2.002755288430215,1.1220715605317706
