,t,E,Ek,Ep,T,P
225,2.25,-603.4257676074562,309.8282789571222,-913.2540465645785,0.8100085724369208,-0.2411521737060044
226,2.2600000000000002,-603.6069752370923,310.1334289847389,-913.7404042218312,0.8108063502868991,-0.23635213142970918
227,2.27,-603.8611838957737,308.572057533402,-912.4332414291757,0.8067243334206589,-0.21567382317647343
228,2.2800000000000002,-603.9244570016522,305.7381464435591,-909.6626034452113,0.7993154155387167,-0.18244015288013576
229,2.29,-603.855250539882,302.9978601926854,-906.8531107325674,0.7921512684776089,-0.14792450463463647
230,2.3000000000000003,-603.5581690321983,300.75554285935414,-904.3137118915524,0.786289000939488,-0.11666629519372101
231,2.31,-603.3076201760234,299.2178629055563,-902.5254830815796,0.7822689226289052,-0.09329586558061564
232,2.32,-602.825669891441,298.8347920038317,-901.6604618952726,0.781267430075377,-0.08166917615071917
233,2.33,-602.448804411284,299.3182662182976,-901.7670706295816,0.7825314149497976,-0.08212508897924908
234,2.34,-602.1989248335035,300.65263911770097,-902.8515639512045,0.7860199715495451,-0.09504664396826917
235,2.35,-601.9706352374529,303.58361177634106,-905.554247013794,0.7936826451669047,-0.12527917745979505
236,2.36,-601.9012301170765,307.9121506653726,-909.813380782449,0.8049990867068565,-0.171172452182555
237,2.37,-602.1109374544575,312.0521743900216,-914.1631118444791,0.8158226781438473,-0.22022269513277204
238,2.38,-602.5299069234283,315.1096359355794,-917.6395428590076,0.8238160416616455,-0.26383904199114266
239,2.39,-603.0903773451455,317.89765836822437,-920.9880357133699,0.8311049891979722,-0.3060209976331553
240,2.4,-603.7938997185415,320.85411465931855,-924.6480143778601,0.8388342866910289,-0.34854877835873693
241,2.41,-604.5877812303028,322.61674057352343,-927.2045218038262,0.8434424590157475,-0.37977774750864907
242,2.42,-605.3670323228015,321.73010575511955,-927.097138077921,0.8411244594905086,-0.38716917449030747
243,2.43,-606.0480055631175,318.00102527503054,-924.049030838148,0.831375229477204,-0.36830844801776713
244,2.44,-606.4717650121679,312.3742129057301,-918.845977917898,0.8166646089038695,-0.33018731464956647
245,2.45,-606.6675919881118,306.7062889974427,-913.3738809855545,0.8018465071828568,-0.2884620204800645
246,2.46,-606.5681950829105,303.34966739461163,-909.9178624775221,0.7930710258682657,-0.2625584002277696
247,2.47,-606.3829606683119,303.529269370588,-909.9122300388998,0.7935405735178771,-0.26426984199356296
248,2.48,-606.3086077630203,306.05879381086623,-912.3674015738866,0.8001537093094542,-0.2865009878746114
