,t,E,Ek,Ep,T,P
218,2.18,-2688.314291170013,548.9554992394746,-3237.2697904094875,0.7161846043567837,6.342174528362729
219,2.19,-2688.873272466865,545.9979787556341,-3234.871251222499,0.7123261301443368,6.358837285365671
220,2.2,-2689.5480590476486,551.1088922467687,-3240.6569512944175,0.7189939885802593,6.310354814088779
221,2.21,-2690.667579547266,559.4088315220101,-3250.076411069276,0.7298223503222572,6.232873573387055
222,2.22,-2691.9388345786697,564.7899517300989,-3256.7287863087686,0.7368427289368544,6.176603045069331
223,2.23,-2693.2955681957037,564.4440442624881,-3257.739612458192,0.736391447178719,6.166345218238732
224,2.24,-2694.5519816315104,559.4335267075744,-3253.985508339085,0.7298545684378009,6.1960331379850535
225,2.25,-2695.4111982930153,554.6206062573814,-3250.031804550397,0.723575481092474,6.2289195986584645
226,2.2600000000000002,-2696.485178666435,556.8876630846162,-3253.372841751051,0.7265331547092188,6.208533067608565
227,2.27,-2697.618940121686,566.4596854369659,-3264.0786255586518,0.739021116029962,6.130898109217447
228,2.2800000000000002,-2699.395322646919,575.3924030729682,-3274.787725719887,0.750675020316984,6.051915642795491
229,2.29,-2701.3560836879356,578.904024520302,-3280.2601082082374,0.7552563920682348,6.01160095493256
230,2.3000000000000003,-2703.431395340646,578.195782902878,-3281.6271782435238,0.7543323977858813,6.004468956868372
231,2.31,-2705.6403936381225,575.4060050269705,-3281.046398665093,0.7506927658538428,6.015528824989949
232,2.32,-2707.442475676601,570.889063355585,-3278.3315390321864,0.7447998217293998,6.0428445621058735
233,2.33,-2708.9848734291454,565.3057308291116,-3274.290604258257,0.7375156305663556,6.078049072002722
234,2.34,-2710.387940283687,561.3469385715647,-3271.7348788552517,0.732350865716327,6.0972751222722765
235,2.35,-2711.5464411899643,561.4043974253171,-3272.9508386152816,0.7324258283435319,6.080450926791458
236,2.36,-2712.88590450241,565.3104204723325,-3278.1963249747428,0.7375217488223516,6.026608700231869
237,2.37,-2714.47322293503,571.2984919425855,-3285.7717148776155,0.7453339751370979,5.9507843682721635
238,2.38,-2716.3049006379397,576.1818373424181,-3292.4867379803577,0.7517049410859988,5.880456683236818
239,2.39,-2718.407683253208,576.016270991188,-3294.4239542443956,0.7514889380185101,5.848685990119568
240,2.4,-2720.149251062204,569.8736850963053,-3290.022936158509,0.7434751273272084,5.867311677535967
241,2.41,-2721.633402443229,562.7705864170368,-3284.403988860266,0.7342082014573214,5.898750840036008
242,2.42,-2722.970104811632,560.91626104652,-3283.886365858152,0.7317889902759557,5.89414958362446
243,2.43,-2724.2662120833525,564.803682837934,-3289.0698949212865,0.7368606429718644,5.846921508770361
244,2.44,-2725.983780327904,570.0997541928349,-3296.083534520739,0.7437700641785191,5.787587040825365
245,2.45,-2727.6658578578,571.8701456617812,-3299.5360035195813,0.7460797725528783,5.757272501160213
246,2.46,-2729.323380325469,567.7203557294907,-3297.0437360549595,0.7406658261311033,5.7769546581120705
247,2.47,-2730.649664781706,558.5740832536495,-3289.2237480353556,0.728733311485518,5.84277908128309
248,2.48,-2731.4678508465463,547.9195476286914,-3279.3873984752377,0.7148330693133612,5.928948439981029
249,2.49,-2731.729107572232,539.3423914175877,-3271.0714989898197,0.7036430416406885,6.006097626684006
250,2.5,-2731.590810316634,533.5895702129849,-3265.180380529619,0.6961377302191584,6.0637547625917625
251,2.5100000000000002,-2731.254183653011,530.4191279353927,-3261.6733115884035,0.6920014715399774,6.09918060793733
252,2.52,-2730.964500578672,530.6751895125881,-3261.63969009126,0.6923355375245768,6.103080279456903
253,2.5300000000000002,-2730.724567528653,534.4751285573686,-3265.199696086022,0.6972930574786284,6.074183328090822
254,2.54,-2730.5903466808495,540.2027887965914,-3270.793135477441,0.7047655431136223,6.025566438867272
255,2.5500000000000003,-2730.966006486128,545.7514641351863,-3276.7174706213145,0.7120045194196821,5.97435331858741
256,2.56,-2731.6531781867193,549.1161857168195,-3280.7693639035388,0.7163942409873705,5.940432283797074
257,2.57,-2732.364357431494,547.4126539738371,-3279.7770114053315,0.7141717599136818,5.949950801615978
258,2.58,-2732.7285206267547,539.5957320354469,-3272.3242526622016,0.7039735577761864,6.013284514974868
259,2.59,-2732.5965513481424,529.8296681028994,-3262.426219451042,0.691232443708936,6.097638618919025
260,2.6,-2732.134038620545,524.4859126488346,-3256.6199512693797,0.6842608123272468,6.149436960440077
261,2.61,-2731.5254560049634,527.2363125288757,-3258.761768533839,0.68784907048777,6.134813395897081
262,2.62,-2731.4986925931444,536.8317426842166,-3268.3304352773607,0.7003675703642748,6.057369112130822
263,2.63,-2731.870177173426,547.7311966943532,-3279.6013738677793,0.7145873407623656,5.960228337441926
264,2.64,-2732.6314020278824,554.2145830339548,-3286.8459850618374,0.7230457704291647,5.889858079908618
265,2.65,-2733.4640148325702,555.2259330828928,-3288.689947915463,0.7243652095014909,5.859695127477274
266,2.66,-2734.422880392316,553.6906042711757,-3288.113484663492,0.7223621712605033,5.850619213557629
267,2.67,-2735.173331207613,551.863278203031,-3287.036609410644,0.7199781842179138,5.8482196971766935
268,2.68,-2735.941117846426,549.9868814860599,-3285.9279993324863,0.7175301780640051,5.8500694612451145
269,2.69,-2736.5342956793547,548.0549203771656,-3284.5892160565204,0.7150096808573588,5.8569023743065465
270,2.7,-2737.0443356325613,546.7020193479053,-3283.7463549804665,0.713244643637189,5.863283584479411
271,2.71,-2737.5727095846846,545.700605094442,-3283.2733146791265,0.7119381671160366,5.8696503964525695
272,2.72,-2738.077683044433,544.114044098024,-3282.191727142457,0.7098682897560652,5.881994420875417
273,2.73,-2738.3934127283433,543.0985447708741,-3281.4919574992173,0.7085434374049239,5.891416059009551
274,2.74,-2738.7915759561606,544.3219056912408,-3283.1134816474014,0.7101394725260806,5.883369453840692
275,2.75,-2739.2980525280636,547.0599002884576,-3286.3579528165214,0.7137115463645891,5.861928925624357
276,2.7600000000000002,-2739.95784696972,550.5019669675642,-3290.459813937284,0.7182021747782964,5.83265133579875
277,2.77,-2740.845537172768,553.6053726959876,-3294.450909868756,0.7222509754676942,5.803290938050345
278,2.7800000000000002,-2741.8156830512025,553.8677561171013,-3295.6834391683037,0.7225932891286383,5.79353999615512
279,2.79,-2742.464182894806,549.9054371727086,-3292.369620067515,0.717423923252066,5.816064592558307
280,2.8000000000000003,-2742.999729384276,544.1884417189497,-3287.1881711032256,0.7099653512315064,5.852096457095521
281,2.81,-2743.3050797374076,540.7043193667296,-3284.009399104137,0.7054198556643569,5.871594038055239
282,2.82,-2743.4293304575385,540.7370557481734,-3284.1663862057117,0.7054625645768733,5.863041313333044
283,2.83,-2743.7220009459975,544.3261316808321,-3288.0481326268296,0.7101449858849733,5.824016151291765
284,2.84,-2744.444134679456,551.8937924872072,-3296.337927166663,0.7200179941124686,5.7515272128910615
285,2.85,-2745.515181576461,561.6839385143547,-3307.199120090816,0.7327905264375143,5.661666098332448
286,2.86,-2747.06701662481,569.1142752084822,-3316.181291833292,0.7424843773104791,5.591818109931965
287,2.87,-2748.6343381105753,569.9474669162578,-3318.581805026833,0.7435713854093383,5.579054001401504
288,2.88,-2750.214460884821,562.9481553342478,-3313.162616219069,0.7344398634497687,5.6336749996909115
289,2.89,-2751.1134621069814,550.5275238125694,-3301.6409859195505,0.7182355170418387,5.737145799901904
290,2.9,-2751.3873039139717,538.5146950986016,-3289.901999012573,0.7025632029988279,5.83917251685745
291,2.91,-2751.321825903067,532.9159782572824,-3284.2378041603492,0.6952589409749281,5.886766915734363
292,2.92,-2751.2112746254957,536.1474790476051,-3287.3587536731006,0.6994748585095957,5.856903351099879
293,2.93,-2751.5133448352894,545.6407953508074,-3297.154140186097,0.7118601374439757,5.768061640245003
294,2.94,-2752.2320050508993,555.6874499507668,-3307.919455001666,0.7249673189181562,5.667478377621665
295,2.95,-2753.502327627969,562.2651421941148,-3315.767469822084,0.7335487830321132,5.590141885936417
296,2.96,-2754.869096165606,565.0936814994128,-3319.962777665019,0.7372389843436566,5.543826368265709
297,2.97,-2756.3270784691294,565.2372198719847,-3321.564298341114,0.7374262490175926,5.521728529586827
298,2.98,-2757.706701147591,563.9328476781733,-3321.6395488257645,0.7357245240419743,5.514588986254277
299,2.99,-2758.995635056921,562.8916083967572,-3321.8872434536784,0.7343660905371914,5.508564391580464
300,3.0,-2760.388387233142,562.7350544538086,-3323.1234416869506,0.7341618453409114,5.49671949169284
301,3.0100000000000002,-2761.631203159084,563.6771166030164,-3325.308319762101,0.7353908892407259,5.476918665738236
302,3.02,-2763.0889511971654,565.6557390287612,-3328.7446902259267,0.7379722622684426,5.447305072952226
303,3.0300000000000002,-2764.504695236384,565.9142408818884,-3330.4189361182725,0.7383095119137487,5.4293708981983375
304,3.04,-2765.787498325804,561.9176196216677,-3327.7051179474715,0.7330953941574269,5.4436956553649445
305,3.0500000000000003,-2766.649180586808,555.5433758557216,-3322.1925564425296,0.7247793553238377,5.479479866586652
306,3.06,-2767.4900379375204,550.3139316732106,-3317.803969610731,0.7179568580211488,5.510260832229168
307,3.0700000000000003,-2768.2803375126455,546.03618660132,-3314.3165241139654,0.712375977301135,5.538071299879096
308,3.08,-2768.6630389671272,540.6184707180948,-3309.281509685222,0.7053078548181276,5.580641716827634
309,3.09,-2768.7413854550755,534.3232165997501,-3303.0646020548256,0.6970948683623616,5.636041073053305
